time,dataretrieval_count,dataretrieval_waiting,dataretrieval_occupancy,datauptader_count,dataupdater_waiting,dataupdater_occupancy
49000.0,0.0,0.0,0.2,0.0,0.0,0.2
50000.0,30.0,0.0,0.2,33.0,27.0,0.36298353232245534
51000.0,0.0,0.0,0.2,0.0,0.0,0.2
52000.0,33.0,27.0,0.3051340392340247,33.0,57.0,0.4929686890838583
53000.0,0.0,0.0,0.2,0.0,0.0,0.2
54000.0,33.0,27.0,0.2,33.0,57.0,0.2
55000.0,0.0,0.0,0.3228816635109631,0.0,0.0,0.2
56000.0,33.0,87.0,0.4685439347364969,33.0,87.0,0.2
57000.0,0.0,0.0,0.2,0.0,0.0,0.2
58000.0,30.0,0.0,0.2,33.0,27.0,0.2
59000.0,0.0,0.0,0.2,0.0,0.0,0.2
60000.0,33.0,57.0,0.56,33.0,87.0,0.2885850647233738
61000.0,0.0,0.0,0.2,0.0,0.0,0.2
62000.0,30.0,0.0,0.2,33.0,27.0,0.2
63000.0,0.0,0.0,0.2,0.0,0.0,0.2
64000.0,33.0,57.0,0.2,33.0,87.0,0.30595398235159205
65000.0,0.0,0.0,0.2,0.0,0.0,0.56
66000.0,33.0,27.0,0.30676777809870576,33.0,57.0,0.34415508685038226
67000.0,0.0,0.0,0.2,0.0,0.0,0.42230371639554093
68000.0,33.0,27.0,0.56,33.0,57.0,0.3624767020967471
69000.0,0.0,0.0,0.56,0.0,0.0,0.2
70000.0,33.0,27.0,0.56,33.0,27.0,0.3518594851939455
71000.0,0.0,0.0,0.2,0.0,0.0,0.2
72000.0,33.0,87.0,0.44941399464059445,33.0,117.0,0.2
73000.0,0.0,0.0,0.25064434422892473,0.0,0.0,0.544137101310545
74000.0,30.0,0.0,0.4675981036453664,33.0,27.0,0.56
75000.0,0.0,0.0,0.2,0.0,0.0,0.4804244296887052
76000.0,33.0,27.0,0.56,33.0,57.0,0.2
77000.0,0.0,0.0,0.2,0.0,0.0,0.2
78000.0,33.0,27.0,0.2,33.0,57.0,0.2
79000.0,0.0,0.0,0.2,0.0,0.0,0.2
80000.0,33.0,57.0,0.2,33.0,87.0,0.2
81000.0,0.0,0.0,0.5166448016725131,0.0,0.0,0.5286722720484507
82000.0,30.0,0.0,0.2,33.0,27.0,0.2
83000.0,0.0,0.0,0.2,0.0,0.0,0.2
84000.0,33.0,87.0,0.27117240578988994,33.0,87.0,0.2
85000.0,0.0,0.0,0.2,0.0,0.0,0.2
86000.0,30.0,0.0,0.2,33.0,27.0,0.2
